"","order","judge_num","dataset","case_outcome","judge_vote","lower_dir","name","judge_full","circuit","confirm_yr","appt_pres","gender_judge","party_judge","jcs","year_birth","race_judge","jud_experience","minority_judge","dec_year","num_fem","mow_sex","abs_jcs"
"1",4431,3,"title7","Conservative","Conservative","Conservative","Fields v. New York State Office of Mental Retardation","Winter, Ralph K. Jr.","2",1981,"Reagan","Male","Republican",-0.061999998986721,1935,"White","No experience","White",1997,0,0,0.220499992370605
"2",4431,1,"title7","Conservative","Conservative","Conservative","Fields v. New York State Office of Mental Retardation","Newman, Jon Ormond","2",1979,"Carter","Male","Democrat",-0.34400001168251,1932,"White","Experienced","White",1997,0,0,0.0615000128746033
"3",4431,2,"title7","Conservative","Conservative","Conservative","Fields v. New York State Office of Mental Retardation","Oakes, James Lowell","2",1971,"Nixon","Male","Republican",0.0480000004172325,1924,"White","Experienced","White",1997,0,0,0.33050000667572
"4",4624,3,"title7","Conservative","Conservative","Conservative","Carter v. St Louis Univ.","Loken, James B.","8",1990,"Bush I","Male","Republican",0.124499998986721,1940,"White","No experience","White",1999,0,0,0.0662500038743019
"5",4624,2,"title7","Conservative","Conservative","Conservative","Carter v. St Louis Univ.","Wollman, Roger Leland","8",1985,"Reagan","Male","Republican",0.237000003457069,1934,"White","Experienced","White",1999,0,0,0.0462500005960464
"6",4624,1,"title7","Conservative","Conservative","Conservative","Carter v. St Louis Univ.","McMillian, Theodore","8",1978,"Carter","Male","Democrat",-0.368999987840652,1919,"Black","No experience","Minority",1999,0,0,0.559749960899353
"7",4399,1,"title7","Liberal","Liberal","Conservative","Landrau-Romero v. Banco Popular","Selya, Bruce Marshall","1",1986,"Reagan","Male","Republican",0.00300000002607703,1934,"White","Experienced","White",2000,0,0,0.225749999284744
"8",4399,2,"title7","Liberal","Liberal","Conservative","Landrau-Romero v. Banco Popular","Campbell, Levin Hicks","1",1972,"Nixon","Male","Republican",-0.20100000500679,1927,"White","Experienced","White",2000,0,0,0.429750025272369
"9",4399,3,"title7","Liberal","Liberal","Conservative","Landrau-Romero v. Banco Popular","Stahl, Norman H.","1",1992,"Bush I","Male","Republican",0.439500004053116,1931,"White","Experienced","White",2000,0,0,0.210749998688698
"10",4646,2,"title7","Liberal","Liberal","Liberal","Swinton v. Potomac Corp","Fletcher, William A.","9",1998,"Clinton","Male","Democrat",-0.347499996423721,1945,"White","No experience","White",2001,2,1,0.0474999845027924
"11",4646,3,"title7","Liberal","Liberal","Liberal","Swinton v. Potomac Corp","Rawlinson, Johnnie B.","9",2000,"Clinton","Female","Democrat",-0.239499986171722,1952,"Black","Experienced","Minority",2001,2,1,0.0605000257492065
"12",4646,1,"title7","Liberal","Liberal","Liberal","Swinton v. Potomac Corp","McKeown, M. Margaret","9",1998,"Clinton","Female","Democrat",-0.342000007629395,1951,"White","No experience","White",2001,2,1,0.0419999957084656
"13",4492,1,"title7","Conservative","Conservative","Conservative","Wallace v. Texas Tech Univ.","Garwood, William Lockhart","5",1981,"Reagan","Male","Republican",0.462999999523163,1931,"White","Experienced","White",1996,0,0,0.0642499923706055
"14",4492,2,"title7","Conservative","Conservative","Conservative","Wallace v. Texas Tech Univ.","Wiener, Jacques Loeb Jr.","5",1990,"Bush I","Male","Republican",0.524999976158142,1934,"White","No experience","White",1996,0,0,0.126249969005585
"15",4492,3,"title7","Conservative","Conservative","Conservative","Wallace v. Texas Tech Univ.","Parker, Robert Manley","5",1994,"Clinton","Male","Democrat",-0.441000014543533,1937,"White","Experienced","White",1996,0,0,0.839750051498413
"16",4671,2,"title7","Conservative","Conservative","Conservative","Mosley v. Pena","McWilliams, Robert Hugh Jr.","10",1970,"Nixon","Male","Republican",0.296999990940094,1916,"White","Experienced","White",1996,1,0,0.0497499853372574
"17",4671,1,"title7","Conservative","Conservative","Conservative","Mosley v. Pena","Tacha, Deanell Reece","10",1985,"Reagan","Female","Republican",0.238499999046326,1946,"White","No experience","White",1996,1,0,0.00875000655651093
"18",4698,3,"title7","Conservative","Conservative","Conservative","Mayfield v. Patterson Pump","Aldrich, Ann","11",1980,"Carter","Female","Democrat",-0.398499965667725,1927,"White","No experience","White",1996,1,0,0.804499983787537
"19",4698,1,"title7","Conservative","Conservative","Conservative","Mayfield v. Patterson Pump","Edmondson, James Larry","11",1986,"Reagan","Male","Republican",0.326999992132187,1947,"White","No experience","White",1996,1,0,0.0789999961853027
"20",4488,1,"title7","Conservative","Conservative","Conservative","Grimes v. Texas Dept of Mental Health","Garza, Reynaldo G.","5",1979,"Carter","Male","Democrat",-0.103000000119209,1915,"Hispanic","Experienced","Minority",1996,1,0,0.501749992370605
"21",4488,2,"title7","Conservative","Conservative","Conservative","Grimes v. Texas Dept of Mental Health","Jones, Edith Hollan","5",1985,"Reagan","Female","Republican",0.532000005245209,1949,"White","No experience","White",1996,1,0,0.133249998092651
"22",4487,2,"title7","Conservative","Conservative","Conservative","Ward v. Bechtel Corp","Wiener, Jacques Loeb Jr.","5",1990,"Bush I","Male","Republican",0.524999976158142,1934,"White","No experience","White",1997,0,0,0.126249969005585
"23",4487,1,"title7","Conservative","Conservative","Conservative","Ward v. Bechtel Corp","Higginbotham, Patrick Errol","5",1982,"Reagan","Male","Republican",0.462999999523163,1938,"White","Experienced","White",1997,0,0,0.0642499923706055
